CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA;;;;;;;,;,DEC;PRECIOUNITARIO;,;CANTIDAD;,;CANTIDADRECOMPRA;,;NIVELREORDEN;,;,DEC;PRECIOUNIDADEMEDIDA;,;IDSUCURSAL;,;CODIGODEBARRAS,NOMBRE,PRESENTACION,MARCA,UNIDADDEMEDIDA,ESPECIFICACIONEMPACADO,CATEGORIA,PRECIOUNITARIO,DEC,CANTIDAD,CANTIDADRECOMPRA,NIVELREORDEN,PRECIOUNIDADEMEDIDA,DEC,IDSUCURSAL,
f1r5c9a9m8,Steam Pan Full Lid,Botella,Zoovu,cm3,elit sodales,255;;;;;;;,;;39529,58676;,;4;,;12;,;34;,;;98,8239669;,;696;,;f1r5c9a9m8,Steam Pan Full Lid,Botella,Zoovu,cm3,elit sodales,255,39529,58676,4,12,34,98,8239669,696,
w8s8p2r7l6,Mace,Paquete,Feednation,cm3,faucibus,256;;;;;;;,;;55570,34587;,;13;,;31;,;18;,;;138,9258647;,;571;,;w8s8p2r7l6,Mace,Paquete,Feednation,cm3,faucibus,256,55570,34587,13,31,18,138,9258647,571,
w5t7y7s8a4,Coffee - Ristretto Coffee Capsule,Bolsa,Yakidoo,gr,iaculis congue,257;;;;;;;,;;17840,88013;,;46;,;97;,;22;,;;44,60220032;,;235;,;w5t7y7s8a4,Coffee - Ristretto Coffee Capsule,Bolsa,Yakidoo,gr,iaculis congue,257,17840,88013,46,97,22,44,60220032,235,
k7a1v2o8x8,Scallops - 10/20,Ancheta,Fivechat,cm3,aliquet,258;;;;;;;,;;25184,15552;,;11;,;27;,;48;,;;62,9603888;,;969;,;k7a1v2o8x8,Scallops - 10/20,Ancheta,Fivechat,cm3,aliquet,258,25184,15552,11,27,48,62,9603888,969,
u1j3z5t7z8,Juice - Propel Sport,Botella,Oyondu,cm3,tortor id,259;;;;;;;,;;14218,4482;,;43;,;91;,;4;,;;35,54612051;,;172;,;u1j3z5t7z8,Juice - Propel Sport,Botella,Oyondu,cm3,tortor id,259,14218,4482,43,91,4,35,54612051,172,
r7q9f1v8x3,Alize Sunset,Canasta,Wikibox,cm3,consequat,260;;;;;;;,;;8523,371385;,;12;,;28;,;42;,;;21,30842846;,;450;,;r7q9f1v8x3,Alize Sunset,Canasta,Wikibox,cm3,consequat,260,8523,371385,12,28,42,21,30842846,450,
l9q0p0e6f5,Fondant - Icing,Botella,Kayveo,gr,integer pede,261;;;;;;;,;;15698,49256;,;32;,;70;,;9;,;;39,2462314;,;430;,;l9q0p0e6f5,Fondant - Icing,Botella,Kayveo,gr,integer pede,261,15698,49256,32,70,9,39,2462314,430,
g4x6p2w2n5,Muffin - Zero Transfat,Canasta,Buzzdog,cm3,ultrices mattis,262;;;;;;;,;;58743,09776;,;47;,;99;,;39;,;;146,8577444;,;284;,;g4x6p2w2n5,Muffin - Zero Transfat,Canasta,Buzzdog,cm3,ultrices mattis,262,58743,09776,47,99,39,146,8577444,284,
w2y0w9t8k4,Sausage - Liver,Regalo,Voonix,cm3,in libero,263;;;;;;;,;;42839,57733;,;29;,;63;,;1;,;;107,0989433;,;307;,;w2y0w9t8k4,Sausage - Liver,Regalo,Voonix,cm3,in libero,263,42839,57733,29,63,1,107,0989433,307,
f2f2k2j9g3,Wild Boar - Tenderloin,Regalo,Thoughtworks,cm3,integer ac,264;;;;;;;,;;21331,60375;,;48;,;101;,;20;,;;53,32900937;,;122;,;f2f2k2j9g3,Wild Boar - Tenderloin,Regalo,Thoughtworks,cm3,integer ac,264,21331,60375,48,101,20,53,32900937,122,
n5s2f8p9w5,Pears - Bosc,Canasta,Devcast,cm3,id,265;;;;;;;,;;18292,37457;,;31;,;66;,;25;,;;45,73093643;,;687;,;n5s2f8p9w5,Pears - Bosc,Canasta,Devcast,cm3,id,265,18292,37457,31,66,25,45,73093643,687,
"j7s9f4j9c6,""Lid - Translucent, 3.5 And 6 Oz"",Tela,Innojam,gr,augue a,266";;;;;;;,;;1178,070428;,;18;,;42;,;30;,;;2,94517607;,;762;,;"j7s9f4j9c6,""Lid - Translucent, 3.5 And 6 Oz"",Tela,Innojam,gr,augue a,266,1178,070428,18,42,30,2,94517607,762,"
x4b8x1t6e9,Carbonated Water - Cherry,Regalo,Youbridge,gr,aliquam quis,267;;;;;;;,;;4747,441056;,;38;,;81;,;22;,;;11,86860264;,;4;,;x4b8x1t6e9,Carbonated Water - Cherry,Regalo,Youbridge,gr,aliquam quis,267,4747,441056,38,81,22,11,86860264,4,
"c8g7d9i4j7,""Lamb - Whole Head Off,nz"",Botella Plastica,InnoZ,gr,euismod scelerisque,268";;;;;;;,;;82700,92551;,;11;,;28;,;2;,;;206,7523138;,;52;,;"c8g7d9i4j7,""Lamb - Whole Head Off,nz"",Botella Plastica,InnoZ,gr,euismod scelerisque,268,82700,92551,11,28,2,206,7523138,52,"
r0b8h7r1k1,Venison - Ground,Tela,Yodo,cm3,dolor sit,269;;;;;;;,;;11307,91761;,;25;,;55;,;7;,;;28,26979403;,;656;,;r0b8h7r1k1,Venison - Ground,Tela,Yodo,cm3,dolor sit,269,11307,91761,25,55,7,28,26979403,656,
w3z0l7o3r7,Avocado,Botella,Eidel,cm3,pede,270;;;;;;;,;;16501,81094;,;22;,;49;,;2;,;;41,25452734;,;531;,;w3z0l7o3r7,Avocado,Botella,Eidel,cm3,pede,270,16501,81094,22,49,2,41,25452734,531,
t6n7m3k6z9,Apple - Granny Smith,Botella,Gigazoom,cm3,nulla,271;;;;;;;,;;11176,65963;,;43;,;91;,;48;,;;27,94164907;,;687;,;t6n7m3k6z9,Apple - Granny Smith,Botella,Gigazoom,cm3,nulla,271,11176,65963,43,91,48,27,94164907,687,
b9b3w3n6t5,Wine - White Cab Sauv.on,Botella Plastica,Feedmix,cm3,ut nulla,272;;;;;;;,;;6817,219918;,;20;,;46;,;3;,;;17,04304979;,;279;,;b9b3w3n6t5,Wine - White Cab Sauv.on,Botella Plastica,Feedmix,cm3,ut nulla,272,6817,219918,20,46,3,17,04304979,279,
"s9h5s3e1x2,""Wine - Red, Colio Cabernet"",Caja,Voomm,cm3,nulla,273";;;;;;;,;;69553,47716;,;17;,;39;,;30;,;;173,8836929;,;329;,;"s9h5s3e1x2,""Wine - Red, Colio Cabernet"",Caja,Voomm,cm3,nulla,273,69553,47716,17,39,30,173,8836929,329,"
n1b4f3i8f6,Milk - Skim,Botella Vidrio,Plajo,cm3,consequat,274;;;;;;;,;;2425,907184;,;44;,;94;,;31;,;;6,064767961;,;880;,;n1b4f3i8f6,Milk - Skim,Botella Vidrio,Plajo,cm3,consequat,274,2425,907184,44,94,31,6,064767961,880,
f6l3a1u1t2,Hersey Shakes,Canasta,Oyoba,cm3,ante ipsum,275;;;;;;;,;;77161,10342;,;43;,;90;,;42;,;;192,9027586;,;529;,;f6l3a1u1t2,Hersey Shakes,Canasta,Oyoba,cm3,ante ipsum,275,77161,10342,43,90,42,192,9027586,529,
m6a2l6x7a9,Chocolate - Dark Callets,Bolsa,Twinder,gr,varius,276;;;;;;;,;;23414,46022;,;12;,;28;,;9;,;;58,53615056;,;130;,;m6a2l6x7a9,Chocolate - Dark Callets,Bolsa,Twinder,gr,varius,276,23414,46022,12,28,9,58,53615056,130,
g8t6s7e1s4,Cheese - Blue,Bolsa,Skiptube,cm3,mi,277;;;;;;;,;;69130,26727;,;46;,;97;,;28;,;;172,8256682;,;812;,;g8t6s7e1s4,Cheese - Blue,Bolsa,Skiptube,cm3,mi,277,69130,26727,46,97,28,172,8256682,812,
"d8t8n8x8p9,""Glass - Wine, Plastic, Clear 5 Oz"",Canasta,Tagtune,gr,et tempus,278";;;;;;;,;;44761,38738;,;38;,;81;,;21;,;;111,9034685;,;653;,;"d8t8n8x8p9,""Glass - Wine, Plastic, Clear 5 Oz"",Canasta,Tagtune,gr,et tempus,278,44761,38738,38,81,21,111,9034685,653,"
r2x8k0d4i1,Bread - Ciabatta Buns,Botella,Fadeo,cm3,in,279;;;;;;;,;;6276,92797;,;15;,;36;,;21;,;;15,69231993;,;159;,;r2x8k0d4i1,Bread - Ciabatta Buns,Botella,Fadeo,cm3,in,279,6276,92797,15,36,21,15,69231993,159,
k1c5i0j0x0,Coffee - French Vanilla Frothy,Bolsa,Skibox,cm3,sit amet,280;;;;;;;,;;6294,238682;,;15;,;35;,;6;,;;15,73559671;,;865;,;k1c5i0j0x0,Coffee - French Vanilla Frothy,Bolsa,Skibox,cm3,sit amet,280,6294,238682,15,35,6,15,73559671,865,
o6l1h9t9y3,Praline Paste,Caja,Jabberbean,gr,eget,281;;;;;;;,;;757,5510699;,;37;,;79;,;39;,;;1,893877675;,;578;,;o6l1h9t9y3,Praline Paste,Caja,Jabberbean,gr,eget,281,757,5510699,37,79,39,1,893877675,578,
u0p8k9d0o2,Piping Jelly - All Colours,Canasta,Miboo,gr,elementum eu,282;;;;;;;,;;6588,925646;,;35;,;76;,;33;,;;16,47231411;,;532;,;u0p8k9d0o2,Piping Jelly - All Colours,Canasta,Miboo,gr,elementum eu,282,6588,925646,35,76,33,16,47231411,532,
w5p4r7y5k4,Strawberries - California,Botella Vidrio,Avavee,gr,aliquam,283;;;;;;;,;;6495,237987;,;12;,;28;,;37;,;;16,23809497;,;188;,;w5p4r7y5k4,Strawberries - California,Botella Vidrio,Avavee,gr,aliquam,283,6495,237987,12,28,37,16,23809497,188,
g3e8n8v0a1,Cocoa Powder - Natural,Botella Plastica,Omba,gr,massa,284;;;;;;;,;;169,7574839;,;48;,;102;,;27;,;;0,42439371;,;28;,;g3e8n8v0a1,Cocoa Powder - Natural,Botella Plastica,Omba,gr,massa,284,169,7574839,48,102,27,0,42439371,28,
"i0d6d7c5o2,""Soup - Clam Chowder, Dry Mix"",Paquete,Skyndu,cm3,dictumst morbi,285";;;;;;;,;;165,1096506;,;12;,;28;,;20;,;;0,412774127;,;728;,;"i0d6d7c5o2,""Soup - Clam Chowder, Dry Mix"",Paquete,Skyndu,cm3,dictumst morbi,285,165,1096506,12,28,20,0,412774127,728,"
r8j9p5b8t1,Cup - Paper 10oz 92959,Botella Plastica,Realmix,gr,nullam sit,286;;;;;;;,;;354,2235611;,;33;,;70;,;16;,;;0,885558903;,;872;,;r8j9p5b8t1,Cup - Paper 10oz 92959,Botella Plastica,Realmix,gr,nullam sit,286,354,2235611,33,70,16,0,885558903,872,
c8q3v5a3c3,Bagel - Plain,Ancheta,Zooxo,gr,convallis tortor,287;;;;;;;,;;21241,48592;,;29;,;62;,;26;,;;53,10371479;,;793;,;c8q3v5a3c3,Bagel - Plain,Ancheta,Zooxo,gr,convallis tortor,287,21241,48592,29,62,26,53,10371479,793,
j6h1g9f3m2,Coffee - Frthy Coffee Crisp,Regalo,Omba,cm3,duis mattis,288;;;;;;;,;;3555,249924;,;13;,;31;,;0;,;;8,888124809;,;192;,;j6h1g9f3m2,Coffee - Frthy Coffee Crisp,Regalo,Omba,cm3,duis mattis,288,3555,249924,13,31,0,8,888124809,192,
w9d4y2d7h7,Wine - Vovray Sec Domaine Huet,Regalo,Realcube,gr,interdum,289;;;;;;;,;;35473,56776;,;15;,;36;,;36;,;;88,68391939;,;613;,;w9d4y2d7h7,Wine - Vovray Sec Domaine Huet,Regalo,Realcube,gr,interdum,289,35473,56776,15,36,36,88,68391939,613,
l4f8l4v5h5,Cheese - Cheddar With Claret,Canasta,Yodoo,cm3,urna ut,290;;;;;;;,;;2691,241017;,;45;,;95;,;11;,;;6,728102543;,;267;,;l4f8l4v5h5,Cheese - Cheddar With Claret,Canasta,Yodoo,cm3,urna ut,290,2691,241017,45,95,11,6,728102543,267,
"p8q2g6r6x2,""Pork - Back, Short Cut, Boneless"",Caja,Innotype,gr,orci eget,291";;;;;;;,;;14502,55929;,;31;,;66;,;7;,;;36,25639821;,;334;,;"p8q2g6r6x2,""Pork - Back, Short Cut, Boneless"",Caja,Innotype,gr,orci eget,291,14502,55929,31,66,7,36,25639821,334,"
"x3j7f1j7f1,""Bread - Rolls, Corn"",Botella Plastica,Centimia,gr,magna vestibulum,292";;;;;;;,;;71476,63199;,;11;,;27;,;31;,;;178,69158;,;493;,;"x3j7f1j7f1,""Bread - Rolls, Corn"",Botella Plastica,Centimia,gr,magna vestibulum,292,71476,63199,11,27,31,178,69158,493,"
u7o9f8v7y5,Hot Choc Vending,Paquete,Skidoo,gr,duis bibendum,293;;;;;;;,;;18155,20093;,;49;,;102;,;45;,;;45,38800232;,;494;,;u7o9f8v7y5,Hot Choc Vending,Paquete,Skidoo,gr,duis bibendum,293,18155,20093,49,102,45,45,38800232,494,
h0g6j8q9m9,Petite Baguette,Regalo,Jaloo,cm3,tortor eu,294;;;;;;;,;;31508,70631;,;5;,;15;,;26;,;;78,77176577;,;146;,;h0g6j8q9m9,Petite Baguette,Regalo,Jaloo,cm3,tortor eu,294,31508,70631,5,15,26,78,77176577,146,
"f5e5y3w3k8,""Bread - Dark Rye, Loaf"",Paquete,Feedfish,cm3,sagittis,295";;;;;;;,;;8571,621681;,;19;,;42;,;27;,;;21,4290542;,;335;,;"f5e5y3w3k8,""Bread - Dark Rye, Loaf"",Paquete,Feedfish,cm3,sagittis,295,8571,621681,19,42,27,21,4290542,335,"
u6b1r3o1t7,Gatorade - Orange,Botella Plastica,Tagcat,cm3,lacinia nisi,296;;;;;;;,;;41826,53953;,;26;,;57;,;34;,;;104,5663488;,;169;,;u6b1r3o1t7,Gatorade - Orange,Botella Plastica,Tagcat,cm3,lacinia nisi,296,41826,53953,26,57,34,104,5663488,169,
t0i1f1z7w6,Mushroom - Morel Frozen,Botella Vidrio,Mynte,gr,quis,297;;;;;;;,;;55149,03898;,;6;,;17;,;24;,;;137,8725974;,;322;,;t0i1f1z7w6,Mushroom - Morel Frozen,Botella Vidrio,Mynte,gr,quis,297,55149,03898,6,17,24,137,8725974,322,
c8b6c4t8l5,Veal - Ground,Caja,Topicware,gr,ipsum,298;;;;;;;,;;4915,747097;,;23;,;50;,;8;,;;12,28936774;,;955;,;c8b6c4t8l5,Veal - Ground,Caja,Topicware,gr,ipsum,298,4915,747097,23,50,8,12,28936774,955,
h3b8k3c9m6,Hot Chocolate - Individual,Botella Vidrio,Fliptune,cm3,sem mauris,299;;;;;;;,;;46316,92879;,;21;,;47;,;32;,;;115,792322;,;696;,;h3b8k3c9m6,Hot Chocolate - Individual,Botella Vidrio,Fliptune,cm3,sem mauris,299,46316,92879,21,47,32,115,792322,696,
n8x0m5k1b2,Table Cloth 62x120 White,Bolsa,Devpulse,cm3,nam,300;;;;;;;,;;11098,01021;,;35;,;75;,;19;,;;27,74502552;,;784;,;n8x0m5k1b2,Table Cloth 62x120 White,Bolsa,Devpulse,cm3,nam,300,11098,01021,35,75,19,27,74502552,784,
w3p0t8h5g8,Sauce - Hp,Bolsa,Abatz,gr,tempus,301;;;;;;;,;;13392,01196;,;41;,;88;,;1;,;;33,48002991;,;648;,;w3p0t8h5g8,Sauce - Hp,Bolsa,Abatz,gr,tempus,301,13392,01196,41,88,1,33,48002991,648,
l3s3b3b4e4,Sage Ground Wiberg,Bolsa,Skibox,gr,aenean,302;;;;;;;,;;44648,91604;,;35;,;75;,;33;,;;111,6222901;,;564;,;l3s3b3b4e4,Sage Ground Wiberg,Bolsa,Skibox,gr,aenean,302,44648,91604,35,75,33,111,6222901,564,
p7t4q7l8t6,Shrimp - Black Tiger 8 - 12,Botella Vidrio,Skiba,gr,viverra,303;;;;;;;,;;493,5877949;,;24;,;54;,;13;,;;1,233969487;,;675;,;p7t4q7l8t6,Shrimp - Black Tiger 8 - 12,Botella Vidrio,Skiba,gr,viverra,303,493,5877949,24,54,13,1,233969487,675,
"p0v5y3p3e3,""Sole - Dover, Whole, Fresh"",Paquete,Cogidoo,gr,diam,304";;;;;;;,;;3836,561347;,;34;,;74;,;44;,;;9,591403369;,;775;,;"p0v5y3p3e3,""Sole - Dover, Whole, Fresh"",Paquete,Cogidoo,gr,diam,304,3836,561347,34,74,44,9,591403369,775,"
y4n2s9z0w0,Wine - Manischewitz Concord,Paquete,Flashdog,gr,diam vitae,305;;;;;;;,;;11375,79595;,;49;,;102;,;22;,;;28,43948987;,;85;,;y4n2s9z0w0,Wine - Manischewitz Concord,Paquete,Flashdog,gr,diam vitae,305,11375,79595,49,102,22,28,43948987,85,
m2d7k7o3i0,Beer - Sleemans Cream Ale,Bolsa,Rhyzio,cm3,eget eleifend,306;;;;;;;,;;16767,9239;,;21;,;46;,;28;,;;41,91980974;,;518;,;m2d7k7o3i0,Beer - Sleemans Cream Ale,Bolsa,Rhyzio,cm3,eget eleifend,306,16767,9239,21,46,28,41,91980974,518,
s7t1y6h3v5,Pastry - Banana Muffin - Mini,Ancheta,Skipstorm,cm3,augue a,307;;;;;;;,;;71527,33221;,;13;,;32;,;49;,;;178,8183305;,;535;,;s7t1y6h3v5,Pastry - Banana Muffin - Mini,Ancheta,Skipstorm,cm3,augue a,307,71527,33221,13,32,49,178,8183305,535,
f0n0e1g3x5,Swordfish Loin Portions,Canasta,Babbleset,cm3,tortor risus,308;;;;;;;,;;5166,078806;,;17;,;40;,;18;,;;12,91519702;,;288;,;f0n0e1g3x5,Swordfish Loin Portions,Canasta,Babbleset,cm3,tortor risus,308,5166,078806,17,40,18,12,91519702,288,
n5s3t8j8x4,Wine - Redchard Merritt,Caja,Jetwire,cm3,et commodo,309;;;;;;;,;;69191,9747;,;7;,;19;,;21;,;;172,9799367;,;575;,;n5s3t8j8x4,Wine - Redchard Merritt,Caja,Jetwire,cm3,et commodo,309,69191,9747,7,19,21,172,9799367,575,
f2c6w7o1p5,Pastry - Cheese Baked Scones,Regalo,Youfeed,cm3,risus,310;;;;;;;,;;39895,57288;,;28;,;61;,;7;,;;99,73893219;,;823;,;f2c6w7o1p5,Pastry - Cheese Baked Scones,Regalo,Youfeed,cm3,risus,310,39895,57288,28,61,7,99,73893219,823,
j6f3c8j6p0,Tart - Butter Plain Squares,Botella Vidrio,Meedoo,gr,nec,311;;;;;;;,;;1597,9477;,;24;,;53;,;40;,;;3,99486925;,;658;,;j6f3c8j6p0,Tart - Butter Plain Squares,Botella Vidrio,Meedoo,gr,nec,311,1597,9477,24,53,40,3,99486925,658,
f2e0o9v2j1,Ginsing - Fresh,Canasta,Dazzlesphere,gr,amet nunc,312;;;;;;;,;;21588,61927;,;50;,;105;,;44;,;;53,97154817;,;414;,;f2e0o9v2j1,Ginsing - Fresh,Canasta,Dazzlesphere,gr,amet nunc,312,21588,61927,50,105,44,53,97154817,414,
u0r9b3p0w2,Tomatoes,Bolsa,Realblab,gr,nisl duis,313;;;;;;;,;;27196,31377;,;48;,;102;,;48;,;;67,99078442;,;97;,;u0r9b3p0w2,Tomatoes,Bolsa,Realblab,gr,nisl duis,313,27196,31377,48,102,48,67,99078442,97,
z2v1z4m1s6,Cod - Black Whole Fillet,Botella Plastica,Izio,gr,ipsum primis,314;;;;;;;,;;79141,76714;,;18;,;41;,;5;,;;197,8544178;,;31;,;z2v1z4m1s6,Cod - Black Whole Fillet,Botella Plastica,Izio,gr,ipsum primis,314,79141,76714,18,41,5,197,8544178,31,
n9s9v3r5z2,Bread - Flat Bread,Tela,Feedspan,cm3,nulla integer,315;;;;;;;,;;12496,25925;,;32;,;69;,;35;,;;31,24064814;,;872;,;n9s9v3r5z2,Bread - Flat Bread,Tela,Feedspan,cm3,nulla integer,315,12496,25925,32,69,35,31,24064814,872,
t9s2n0f7a5,Pie Shell - 9,Botella Vidrio,Devpulse,cm3,ac,316;;;;;;;,;;26206,16019;,;48;,;101;,;10;,;;65,51540048;,;72;,;t9s2n0f7a5,Pie Shell - 9,Botella Vidrio,Devpulse,cm3,ac,316,26206,16019,48,101,10,65,51540048,72,
d0z9y5a1s5,Duck - Legs,Bolsa,Mydo,cm3,hendrerit,317;;;;;;;,;;51531,83439;,;30;,;65;,;20;,;;128,829586;,;420;,;d0z9y5a1s5,Duck - Legs,Bolsa,Mydo,cm3,hendrerit,317,51531,83439,30,65,20,128,829586,420,
"x0q4k8a7a3,""Napkin - Dinner, White"",Ancheta,Zoomlounge,cm3,massa,318";;;;;;;,;;54754,37052;,;2;,;8;,;44;,;;136,8859263;,;731;,;"x0q4k8a7a3,""Napkin - Dinner, White"",Ancheta,Zoomlounge,cm3,massa,318,54754,37052,2,8,44,136,8859263,731,"
k8h6m1d8z9,Gatorade - Orange,Regalo,Teklist,cm3,adipiscing elit,319;;;;;;;,;;14358,06118;,;3;,;11;,;36;,;;35,89515294;,;835;,;k8h6m1d8z9,Gatorade - Orange,Regalo,Teklist,cm3,adipiscing elit,319,14358,06118,3,11,36,35,89515294,835,
"b5q3z4s0f6,""Wine - Red, Gallo, Merlot"",Canasta,Twimm,gr,suspendisse,320";;;;;;;,;;44266,87717;,;9;,;23;,;0;,;;110,6671929;,;679;,;"b5q3z4s0f6,""Wine - Red, Gallo, Merlot"",Canasta,Twimm,gr,suspendisse,320,44266,87717,9,23,0,110,6671929,679,"
a8z4b0x2g4,Pants Custom Dry Clean,Botella Plastica,Talane,cm3,consequat,321;;;;;;;,;;50391,93972;,;35;,;74;,;4;,;;125,9798493;,;355;,;a8z4b0x2g4,Pants Custom Dry Clean,Botella Plastica,Talane,cm3,consequat,321,50391,93972,35,74,4,125,9798493,355,
p4h9d4s6x2,Cocoa Powder - Natural,Bolsa,Jamia,gr,nulla,322;;;;;;;,;;26032,02561;,;10;,;24;,;1;,;;65,08006401;,;555;,;p4h9d4s6x2,Cocoa Powder - Natural,Bolsa,Jamia,gr,nulla,322,26032,02561,10,24,1,65,08006401,555,
b0k6x1r1j0,Cherries - Fresh,Bolsa,Dabfeed,cm3,duis bibendum,323;;;;;;;,;;2422,604052;,;16;,;37;,;21;,;;6,05651013;,;378;,;b0k6x1r1j0,Cherries - Fresh,Bolsa,Dabfeed,cm3,duis bibendum,323,2422,604052,16,37,21,6,05651013,378,
n5w3k5j8l8,Puree - Raspberry,Botella Plastica,Avavee,cm3,rhoncus,324;;;;;;;,;;18610,76045;,;46;,;97;,;42;,;;46,52690112;,;266;,;n5w3k5j8l8,Puree - Raspberry,Botella Plastica,Avavee,cm3,rhoncus,324,18610,76045,46,97,42,46,52690112,266,
r3h3q2t5b8,Pastry - Cherry Danish - Mini,Botella,Babbleopia,gr,tortor quis,325;;;;;;;,;;35174,90228;,;47;,;99;,;38;,;;87,9372557;,;544;,;r3h3q2t5b8,Pastry - Cherry Danish - Mini,Botella,Babbleopia,gr,tortor quis,325,35174,90228,47,99,38,87,9372557,544,
y4j2p5t4t9,Cocoa Powder - Natural,Botella,Blogtags,cm3,congue etiam,326;;;;;;;,;;43941,43973;,;47;,;99;,;6;,;;109,8535993;,;553;,;y4j2p5t4t9,Cocoa Powder - Natural,Botella,Blogtags,cm3,congue etiam,326,43941,43973,47,99,6,109,8535993,553,
i6l7v3p5v3,Soup Campbells Turkey Veg.,Caja,Mudo,cm3,praesent id,327;;;;;;;,;;10775,98563;,;38;,;82;,;32;,;;26,93996409;,;777;,;i6l7v3p5v3,Soup Campbells Turkey Veg.,Caja,Mudo,cm3,praesent id,327,10775,98563,38,82,32,26,93996409,777,
w8t6n3q1v9,Table Cloth - 53x69 Colour,Ancheta,Mynte,cm3,nulla,328;;;;;;;,;;21265,28238;,;10;,;26;,;6;,;;53,16320595;,;560;,;w8t6n3q1v9,Table Cloth - 53x69 Colour,Ancheta,Mynte,cm3,nulla,328,21265,28238,10,26,6,53,16320595,560,
"x0z7e1m0x4,""Tomatoes - Cherry, Yellow"",Canasta,Devpulse,cm3,ac lobortis,329";;;;;;;,;;3665,414967;,;48;,;101;,;3;,;;9,163537417;,;561;,;"x0z7e1m0x4,""Tomatoes - Cherry, Yellow"",Canasta,Devpulse,cm3,ac lobortis,329,3665,414967,48,101,3,9,163537417,561,"
d6j6l6u3e6,Soup - Cream Of Broccoli,Paquete,Dabvine,cm3,nullam orci,330;;;;;;;,;;51217,89244;,;37;,;79;,;41;,;;128,0447311;,;153;,;d6j6l6u3e6,Soup - Cream Of Broccoli,Paquete,Dabvine,cm3,nullam orci,330,51217,89244,37,79,41,128,0447311,153,
"m8c3x7a0w6,""Wine - White, Antinore Orvieto"",Caja,Camimbo,gr,blandit,331";;;;;;;,;;13032,09563;,;37;,;79;,;43;,;;32,58023907;,;511;,;"m8c3x7a0w6,""Wine - White, Antinore Orvieto"",Caja,Camimbo,gr,blandit,331,13032,09563,37,79,43,32,58023907,511,"
h6d6p6r4f6,V8 Splash Strawberry Banana,Ancheta,Wikivu,cm3,ultricies,332;;;;;;;,;;45393,19361;,;42;,;89;,;30;,;;113,482984;,;309;,;h6d6p6r4f6,V8 Splash Strawberry Banana,Ancheta,Wikivu,cm3,ultricies,332,45393,19361,42,89,30,113,482984,309,
"v0h0u6h7s8,""Beef - Baby, Liver"",Canasta,Roomm,cm3,elementum,333";;;;;;;,;;9782,696858;,;2;,;8;,;31;,;;24,45674215;,;557;,;"v0h0u6h7s8,""Beef - Baby, Liver"",Canasta,Roomm,cm3,elementum,333,9782,696858,2,8,31,24,45674215,557,"
n5d6y7o6s9,Pork - Inside,Bolsa,Teklist,cm3,montes,334;;;;;;;,;;28203,07451;,;23;,;51;,;29;,;;70,50768627;,;188;,;n5d6y7o6s9,Pork - Inside,Bolsa,Teklist,cm3,montes,334,28203,07451,23,51,29,70,50768627,188,
q7i6t7c9s5,Energy Drink - Franks Pineapple,Ancheta,Riffwire,gr,morbi ut,335;;;;;;;,;;39405,21149;,;44;,;93;,;39;,;;98,51302873;,;354;,;q7i6t7c9s5,Energy Drink - Franks Pineapple,Ancheta,Riffwire,gr,morbi ut,335,39405,21149,44,93,39,98,51302873,354,
a4d8k4u9x1,Oranges,Tela,Kazu,cm3,vel augue,336;;;;;;;,;;23811,61162;,;18;,;40;,;49;,;;59,52902906;,;384;,;a4d8k4u9x1,Oranges,Tela,Kazu,cm3,vel augue,336,23811,61162,18,40,49,59,52902906,384,
p7g5a8w3k5,Sage - Ground,Tela,Quimm,gr,pede justo,337;;;;;;;,;;13623,63703;,;24;,;52;,;0;,;;34,05909257;,;592;,;p7g5a8w3k5,Sage - Ground,Tela,Quimm,gr,pede justo,337,13623,63703,24,52,0,34,05909257,592,
l7v7o2p5b8,Potatoes - Mini White 3 Oz,Botella Plastica,Tazz,gr,etiam,338;;;;;;;,;;40090,008;,;19;,;43;,;12;,;;100,22502;,;93;,;l7v7o2p5b8,Potatoes - Mini White 3 Oz,Botella Plastica,Tazz,gr,etiam,338,40090,008,19,43,12,100,22502,93,
"m3r7i7q5e8,""Nestea - Ice Tea, Diet"",Ancheta,Zoomcast,cm3,erat,339";;;;;;;,;;52174,37541;,;25;,;56;,;22;,;;130,4359385;,;827;,;"m3r7i7q5e8,""Nestea - Ice Tea, Diet"",Ancheta,Zoomcast,cm3,erat,339,52174,37541,25,56,22,130,4359385,827,"
w6o6b2n9y5,Truffle - Whole Black Peeled,Botella,Blognation,cm3,accumsan,340;;;;;;;,;;2903,267508;,;6;,;17;,;31;,;;7,258168771;,;875;,;w6o6b2n9y5,Truffle - Whole Black Peeled,Botella,Blognation,cm3,accumsan,340,2903,267508,6,17,31,7,258168771,875,
a6b7s9j9p8,Wine - Rhine Riesling Wolf Blass,Botella,Skibox,cm3,ultrices,341;;;;;;;,;;15852,37872;,;6;,;16;,;12;,;;39,63094681;,;58;,;a6b7s9j9p8,Wine - Rhine Riesling Wolf Blass,Botella,Skibox,cm3,ultrices,341,15852,37872,6,16,12,39,63094681,58,
